parameter,parameter_label,objective,cell,parameter_value,n_seeds,loss_mean,loss_std,gradient_mean,gradient_std,slope_mean,slope_std,seed_alignment_fraction,seed_qualified_fraction,update_positive_fraction,slope_positive_fraction,interior_fraction,update_nonzero_fraction,secant_consistency_fraction,cv_stencil_valid_fraction,cv_stencil_invalid_fraction,firing_rate_mean_hz,firing_rate_std_hz,spike_count_mean,sim_cv_mean,cv_valid_fraction,loss_sem,gradient_sem,slope_sem,firing_rate_sem_hz,raw_aligned,classification,qualified_status,aligned
Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.1000000014901161,3,10930.666666666666,19.8578280114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.254924331398275,0.15377254773181562,97.0,0.6054372588793436,1.0,11.464922347946615,0.0,0.0,0.08878062182693833,False,red,inconclusive,False
Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.1919383108615875,3,10930.666666666666,19.8578280114754,0.0,0.0,-5.176300841554621,8.965616052840442,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,3.254924331398275,0.15377254773181562,97.0,0.6054389476776123,1.0,11.464922347946615,0.0,5.17630084155826,0.08878062182693833,False,red,inconclusive,False
Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.3684031367301941,3,10928.0,24.43358344574123,-1.468598680165467e-12,2.5436875299751842e-12,-27.80197551577597,11.079773414319341,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,3.254924331398275,0.15377254773181562,97.0,0.6051974296569824,1.0,14.106735979665885,1.468598680165467e-12,6.39691016331733,0.08878062182693833,True,green,inconclusive,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.7071067690849304,3,10910.333333333334,15.176736583776076,-2.5492186412752933e-05,4.315113703471933e-05,-91.7249752761818,31.24479315509034,1.0,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,3.3332214802635254,0.15131202821458614,99.33333333333333,0.6206749280293783,1.0,8.76229295206316,2.4913320582833636e-05,18.039189738865584,0.08736004022131956,True,green,inconclusive,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,1.3572088479995728,3,10801.333333333334,15.04437879519594,-0.0034676424814581892,0.005626025229868948,-203.56902249604823,35.52440258088492,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.590483540820778,0.14626686834470934,107.0,0.6326275865236918,1.0,8.685876147197074,0.0032481871809324635,20.510023392874544,0.08444721581234149,True,green,stable_green,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,2.605003595352173,3,10461.333333333334,41.47690120215527,-0.41228389243284863,0.17973972961832305,-330.0819766659724,45.365861641485026,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.731384852857286,0.08878062182693831,141.0,0.8040239413579305,1.0,23.946700074215858,0.10377278127920937,26.1919924307307,0.051257515910605206,True,green,stable_green,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,5.0,3,9406.0,265.98684177981437,-8.204551378885904,3.316170046830176,-344.7461616375331,59.86380095110252,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.690983524042817,0.08878062182693831,259.0,1.2133484681447346,1.0,153.56757470247425,1.914591669215976,34.562381593833216,0.051257515910605206,True,green,stable_green,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,9.596915245056152,3,8667.333333333334,221.07540191828997,-78.913023630778,26.206964292801086,-115.0149920358905,12.390537575327853,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.961433061530373,0.23806579928853328,475.6666666666667,1.6800446510314941,1.0,127.63794280872943,15.130597889091618,7.153680204519709,0.13744735330407812,True,green,stable_green,True
Strf_alpha,STRF alpha (ms),PSTH SSE,1,18.42015838623047,3,8426.0,344.8303930920243,42.08609263102213,77.63592835888089,-278.0528020420347,21.513709877154486,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,28.377123810162967,0.5037115197117621,845.6666666666666,1.7608701785405476,1.0,199.0879202764447,44.82312413678638,12.420946188842654,0.29081798149950133,False,red,inconclusive,False
Strf_alpha,STRF alpha (ms),PSTH SSE,1,25.93766021728516,3,4730.0,79.22120928135344,140.3731231689453,79.20119456168487,-294.8236032656843,30.54821629453467,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,44.6629307741351,0.17756124365387968,1331.0,1.0019974907239277,1.0,45.73838650411709,45.72683100032869,17.637020900912503,0.10251503182121217,False,red,stable_red,False
