seed,parameter,parameter_label,objective,cell,parameter_value,loss,analytic_gradient,psth_sse,cv_squared_error,firing_rate_hz,spike_count,sim_cv,cv_valid,numerical_slope,left_secant,right_secant,is_interior,update_nonzero,secants_consistent,cv_stencil_valid,cv_stencil_invalid,seed_qualified,seed_aligned
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.1000000014901161,10908.0,0.0,10908.0,0.6123000383377075,3.120700647629274,93.0,0.5458821654319763,True,0.0,,0.0,False,False,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.1919383108615875,10908.0,0.0,10908.0,0.6122921109199524,3.120700647629274,93.0,0.5458872318267822,True,-15.528902524671139,0.0,-45.33481366964709,True,False,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.3684031367301941,10900.0,0.0,10900.0,0.6134203672409058,3.120700647629274,93.0,0.5451666116714478,True,-35.873838745035755,-45.33481366964709,-17.714601872695557,True,False,True,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,0.7071067690849304,10894.0,-1.1550416729733115e-06,10894.0,0.602867066860199,3.1878124895137745,95.0,0.5519330501556396,True,-56.43308650646941,-17.714601872695557,-130.7486974075042,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,1.3572088479995728,10809.0,-7.256051321746781e-05,10809.0,0.54477858543396,3.422703936109526,102.0,0.5902870297431946,True,-168.86575666373392,-130.7486974075042,-242.02698451868164,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,2.605003595352173,10507.0,-0.5699536204338074,10507.0,0.2561658024787903,4.832052615684037,144.0,0.8222499489784241,True,-286.98553362985604,-242.02698451868164,-373.2782221572723,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,5.0,9613.0,-8.062209129333496,9613.0,0.0095104053616523,8.590315761216067,256.0,1.2308568954467771,True,-301.6748552868387,-373.2782221572723,-164.24057433122798,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,9.596915245056152,8858.0,-71.94248962402344,8858.0,0.1820507049560547,16.006174289453373,477.0,1.7550522089004517,True,-109.37952455142994,-164.24057433122798,-4.080132375815797,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,18.42015838623047,8822.0,128.2230987548828,8822.0,0.2572859525680542,28.95875977316197,863.0,1.8356118202209477,True,-296.9390542893017,-4.080132375815797,-546.4581309484903,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,25.93766021728516,4714.0,55.08091735839844,4714.0,0.1215066462755203,44.52870709036609,1327.0,0.9798001646995544,True,-329.9516031888059,-546.4581309484903,-58.7193521679464,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,35.35533905029297,4161.0,750.9799194335938,4161.0,0.3004426658153534,45.43471695580685,1354.0,0.780251681804657,True,-44.31900529572019,-58.7193521679464,5.383769873505725,True,True,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,67.86044311523438,4336.0,111.79986572265624,4336.0,0.3771189451217651,44.19314788094359,1317.0,0.7142781019210815,True,9.320905127550308,5.383769873505725,16.877775098354665,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,130.25018310546875,5389.0,-98.22289276123048,5389.0,0.2219428718090057,44.29381564377034,1320.0,0.8572700619697571,True,16.047929191802137,16.877775098354665,14.45513692538307,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,1,250.0,7120.0,-8.611132621765137,7120.0,0.0284194760024547,37.41485185060904,1115.0,1.159797430038452,True,14.45513692538307,14.45513692538307,,False,True,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,0.1000000014901161,1796.0,0.0,1796.0,0.3554309606552124,4.530049327203785,135.0,0.6041285991668701,True,0.0,,0.0,False,False,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,0.1919383108615875,1796.0,0.0,1796.0,0.3554309606552124,4.530049327203785,135.0,0.6041285991668701,True,11.646676893500171,0.0,34.00111025223532,True,False,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,0.3684031367301941,1802.0,-6.945496017511307e-14,1802.0,0.3584968447685241,4.530049327203785,135.0,0.6015628576278687,True,7.184619225909955,34.00111025223532,-44.2865046817389,True,False,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,0.7071067690849304,1787.0,-3.2154659379557415e-07,1787.0,0.3528582155704498,4.630717090030536,138.0,0.6062902212142944,True,-24.901497789297423,-44.2865046817389,12.305759756000397,True,True,False,True,False,False,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,1.3572088479995728,1795.0,0.0725131407380104,1795.0,0.3350818455219269,4.697828931915036,140.0,0.6214463710784912,True,3.4238154887972883,12.305759756000397,-13.624035552376117,True,True,False,True,False,False,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,2.605003595352173,1778.0,-0.0658802017569542,1778.0,0.3157996237277984,5.20116774604879,155.0,0.638348400592804,True,-26.978104788245332,-13.624035552376117,-52.60968231746791,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,5.0,1652.0,-0.8607975840568542,1652.0,0.2422426044940948,6.140733532431797,183.0,0.7081274390220642,True,-42.785485701922724,-52.60968231746791,-23.92909029991401,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,9.596915245056152,1542.0,-1.5372896194458008,1542.0,0.2329182624816894,8.288312472735814,247.0,0.7176928520202637,True,-18.91588953788846,-23.92909029991401,-9.293634856024871,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,18.42015838623047,1460.0,-0.741124153137207,1460.0,0.1246360093355178,12.180799302036844,363.0,0.847270667552948,True,-10.78863024363637,-9.293634856024871,-12.615273887897128,True,True,True,True,False,True,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,29.200740814208984,1324.0,39.14794921875,1324.0,0.3585936427116394,17.885305862219386,533.0,0.6014820337295532,True,-12.238582442600887,-12.615273887897128,-12.023530563886869,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,35.35533905029297,1250.0,-8.450974464416504,1250.0,0.3809023201465606,18.55642428106439,553.0,0.5831360816955566,True,-9.653909261152712,-12.023530563886869,2.8610891327773276,True,True,False,True,False,False,True
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,67.86044311523438,1343.0,-16.353870391845703,1343.0,0.3655909895896911,18.858427569544645,562.0,0.5956677198410034,True,2.0512561417983264,2.8610891327773276,0.49687656984709844,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,130.25018310546875,1374.0,-2.3045239448547363,1374.0,0.3551675081253052,17.348411127143383,517.0,0.6043496131896973,True,0.5326296563886821,0.49687656984709844,0.6012535289587412,True,True,True,True,False,True,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,2,250.0,1446.0,-0.0719327703118324,1446.0,0.3102546334266662,12.583470353343849,375.0,0.6433038711547852,True,0.6012535289587412,0.6012535289587412,,False,True,False,True,False,False,False
123,Strf_alpha,STRF alpha (ms),PSTH SSE,7,0.1000000014901161,3720.0,0.0,3720.0,0.8989932537078857,2.751585517264521,82.0,0.7526721954345703,True,0.0,,0.0,False,False,False,True,False,False,False
