init_id,cell,epsilon,epsilon_percent_log,center_gain,seed_count,fd_log_mean,fd_log_ci_low,fd_log_ci_high,fd_log_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,analytic_log_sem,fd_resolved,analytic_resolved,raw_aligned,zero_difference_fraction,center_firing_rate_mean_hz,epsilon_stable,qualified,status
0,1,0.0025,0.25,0.018534181639552116,1,-22599.7133023971,,,,1098398.4719039798,,,,False,False,False,0.0,109.3587463507936,False,False,gray
0,1,0.005,0.5,0.018534181639552116,1,-100.0000460212361,,,,1098398.4719039798,,,,False,False,False,0.0,109.3587463507936,False,False,gray
0,1,0.01,1.0,0.018534181639552116,1,8399.982114800756,,,,1098398.4719039798,,,,False,False,True,0.0,109.3587463507936,False,False,gray
0,1,0.02,2.0,0.018534181639552116,1,2100.000362750967,,,,1098398.4719039798,,,,False,False,True,0.0,109.3587463507936,False,False,gray
0,1,0.05,5.0,0.018534181639552116,1,3939.9997519940484,,,,1098398.4719039798,,,,False,False,True,0.0,109.3587463507936,False,False,gray
0,1,0.1,10.0,0.018534181639552116,1,4079.998190643848,,,,1098398.4719039798,,,,False,False,True,0.0,109.3587463507936,False,False,gray
0,2,0.0025,0.25,0.006555918604135513,1,-11799.951948667669,,,,137482.77919258177,,,,False,False,False,0.0,102.47978255763229,False,False,gray
0,2,0.005,0.5,0.006555918604135513,1,899.9991482993001,,,,137482.77919258177,,,,False,False,True,0.0,102.47978255763229,False,False,gray
0,2,0.01,1.0,0.006555918604135513,1,449.9988078591094,,,,137482.77919258177,,,,False,False,True,0.0,102.47978255763229,False,False,gray
0,2,0.02,2.0,0.006555918604135513,1,8275.009853623418,,,,137482.77919258177,,,,False,False,True,0.0,102.47978255763229,False,False,gray
0,2,0.05,5.0,0.006555918604135513,1,10380.003907304948,,,,137482.77919258177,,,,False,False,True,0.0,102.47978255763229,False,False,gray
0,2,0.1,10.0,0.006555918604135513,1,9104.999649163356,,,,137482.77919258177,,,,False,False,True,0.0,102.47978255763229,False,False,gray
0,7,0.0025,0.25,0.006742481142282486,1,12399.81402374484,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
0,7,0.005,0.5,0.006742481142282486,1,13100.025639038417,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
0,7,0.01,1.0,0.006742481142282486,1,3150.002034111271,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
0,7,0.02,2.0,0.006742481142282486,1,10350.005605549433,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
0,7,0.05,5.0,0.006742481142282486,1,10490.00133701503,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
0,7,0.1,10.0,0.006742481142282486,1,11669.99810229255,,,,137267.08551936597,,,,False,False,True,0.0,100.39931545921277,False,False,gray
