init_id,cell,log_offset,epsilon,center_gain,gain_mean,loss_mean,loss_ci_low,loss_ci_high,loss_sem,delta_loss_mean,delta_loss_ci_low,delta_loss_ci_high,delta_loss_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,firing_rate_mean_hz
0,1,-0.1,0.1,0.018534181639552116,0.016770420596003532,11695.0,,,,-447.0,,,,1098398.4719039798,,,108.05006543404583
0,1,-0.05,0.05,0.018534181639552116,0.017630258575081825,11902.0,,,,-240.0,,,,1098398.4719039798,,,108.68762793194858
0,1,-0.02,0.02,0.018534181639552116,0.018167180940508842,11996.0,,,,-146.0,,,,1098398.4719039798,,,108.88896345760209
0,1,-0.01,0.01,0.018534181639552116,0.01834976300597191,12062.0,,,,-80.0,,,,1098398.4719039798,,,109.0902989832556
0,1,-0.005,0.005,0.018534181639552116,0.018441742286086082,12090.0,,,,-52.0,,,,1098398.4719039798,,,109.22452266702459
0,1,-0.0025,0.0025,0.018534181639552116,0.018487904220819473,12131.0,,,,-11.0,,,,1098398.4719039798,,,109.25807858796684
0,1,0.0,0.0,0.018534181639552116,0.018534181639552116,12142.0,,,,0.0,,,,1098398.4719039798,,,109.3587463507936
0,1,0.0025,0.0025,0.018534181639552116,0.01858057640492916,12018.0,,,,-124.0,,,,1098398.4719039798,,,109.29163450890908
0,1,0.005,0.005,0.018534181639552116,0.01862708479166031,12089.0,,,,-53.0,,,,1098398.4719039798,,,109.52652595550484
0,1,0.01,0.01,0.018534181639552116,0.01872045360505581,12230.0,,,,88.0,,,,1098398.4719039798,,,109.3587463507936
0,1,0.02,0.02,0.018534181639552116,0.01890859752893448,12080.0,,,,-62.0,,,,1098398.4719039798,,,109.42585819267809
0,1,0.05,0.05,0.018534181639552116,0.019484449177980423,12296.0,,,,154.0,,,,1098398.4719039798,,,109.82852924398509
0,1,0.1,0.1,0.018534181639552116,0.020483439788222313,12511.0,,,,369.0,,,,1098398.4719039798,,,110.33186805811884
0,2,-0.1,0.1,0.006555918604135513,0.005932040512561798,19717.0,,,,-856.0,,,,137482.77919258177,,,100.33220361732828
0,2,-0.05,0.05,0.006555918604135513,0.006236182991415262,20012.0,,,,-561.0,,,,137482.77919258177,,,101.23821348276903
0,2,-0.02,0.02,0.006555918604135513,0.006426102947443724,20401.0,,,,-172.0,,,,137482.77919258177,,,102.21133519009429
0,2,-0.01,0.01,0.006555918604135513,0.006490685977041721,20575.0,,,,2.0,,,,137482.77919258177,,,102.47978255763229
0,2,-0.005,0.005,0.006555918604135513,0.0065232207998633385,20577.0,,,,4.0,,,,137482.77919258177,,,102.54689439951679
0,2,-0.0025,0.0025,0.006555918604135513,0.006539549212902784,20600.0,,,,27.0,,,,137482.77919258177,,,102.58045032045904
0,2,0.0,0.0,0.006555918604135513,0.006555918604135513,20573.0,,,,0.0,,,,137482.77919258177,,,102.47978255763229
0,2,0.0025,0.0025,0.006555918604135513,0.006572328973561525,20541.0,,,,-32.0,,,,137482.77919258177,,,102.47978255763229
0,2,0.005,0.005,0.006555918604135513,0.0065887803211808205,20586.0,,,,13.0,,,,137482.77919258177,,,102.58045032045904
0,2,0.01,0.01,0.006555918604135513,0.0066218068823218346,20584.0,,,,11.0,,,,137482.77919258177,,,102.64756216234353
0,2,0.02,0.02,0.006555918604135513,0.00668835686519742,20732.0,,,,159.0,,,,137482.77919258177,,,102.91600952988153
0,2,0.05,0.05,0.006555918604135513,0.006892047822475433,21050.0,,,,477.0,,,,137482.77919258177,,,103.58712794872655
0,2,0.1,0.1,0.006555918604135513,0.0072454106993973255,21538.0,,,,965.0,,,,137482.77919258177,,,104.72802926076305
0,7,-0.1,0.1,0.006742481142282486,0.006100849248468876,21301.0,,,,-1699.0,,,,137267.08551936597,,,97.1443911278145
0,7,-0.05,0.05,0.006742481142282486,0.006413646508008242,22284.0,,,,-716.0,,,,137267.08551936597,,,98.72151941210026
0,7,-0.02,0.02,0.006742481142282486,0.006608970928937197,22797.0,,,,-203.0,,,,137267.08551936597,,,99.76175296131002
0,7,-0.01,0.01,0.006742481142282486,0.006675392389297485,23004.0,,,,4.0,,,,137267.08551936597,,,100.06375624979027
0,7,-0.005,0.005,0.006742481142282486,0.00670885294675827,22858.0,,,,-142.0,,,,137267.08551936597,,,99.99664440790576
0,7,-0.0025,0.0025,0.006742481142282486,0.006725645624101162,22930.0,,,,-70.0,,,,137267.08551936597,,,100.26509177544376
0,7,0.0,0.0,0.006742481142282486,0.006742481142282486,23000.0,,,,0.0,,,,137267.08551936597,,,100.39931545921277
0,7,0.0025,0.0025,0.006742481142282486,0.006759358569979668,22992.0,,,,-8.0,,,,137267.08551936597,,,100.46642730109727
0,7,0.005,0.005,0.006742481142282486,0.006776277907192707,22989.0,,,,-11.0,,,,137267.08551936597,,,100.36575953827052
0,7,0.01,0.01,0.006742481142282486,0.006810244172811508,23067.0,,,,67.0,,,,137267.08551936597,,,100.43287138015502
0,7,0.02,0.02,0.006742481142282486,0.006878688000142574,23211.0,,,,211.0,,,,137267.08551936597,,,100.76843058957752
0,7,0.05,0.05,0.006742481142282486,0.007088175509124994,23333.0,,,,333.0,,,,137267.08551936597,,,101.10398979900003
0,7,0.1,0.1,0.006742481142282486,0.007451594341546297,23635.0,,,,635.0,,,,137267.08551936597,,,102.27844703197879
