batch,cell_index,cell_target,psth_mse,cv_loss,sim_cv,data_cv,combined_rank,is_best_psth,is_best_cv,is_best_combined
1,1,7,21.312080536912752,9.409199304470963e-05,1.6911247099081033,1.7008248126418226,25.0,False,True,False
2,1,7,11.43288590604027,0.6196036798066821,0.9136757290454037,1.7008248126418226,27.0,False,False,False
3,1,7,17.973154362416107,0.08790677783997082,1.404334040711277,1.7008248126418226,29.0,False,False,False
4,1,7,22.741610738255034,1.1289326868134535,0.6383123718612672,1.7008248126418226,53.0,False,False,False
5,1,7,12.446308724832214,1.339515151967404,0.5434505637631794,1.7008248126418226,40.0,False,False,False
6,1,7,9.093959731543624,0.2567963890752136,1.194073997077394,1.7008248126418226,16.0,True,False,True
7,1,7,10.822147651006711,0.437914553291841,1.0390736862416925,1.7008248126418226,22.0,False,False,False
8,1,7,16.604026845637584,0.2640630562855344,1.1869541515941866,1.7008248126418226,36.0,False,False,False
9,1,7,18.389261744966444,0.12790543506674484,1.3431861191720795,1.7008248126418226,33.0,False,False,False
10,1,7,12.53020134228188,0.15669268790333601,1.3049805403536714,1.7008248126418226,23.0,False,False,False
11,1,7,14.399328859060402,0.11386694150643849,1.3633830524721031,1.7008248126418226,26.0,False,False,False
12,1,7,37.68120805369127,0.9326137951144349,0.7351054977710705,1.7008248126418226,55.0,False,False,False
13,1,7,32.95637583892618,0.3267960212983539,1.129164055462922,1.7008248126418226,45.0,False,False,False
14,1,7,18.177852348993287,0.07088208652000086,1.4345879133960553,1.7008248126418226,28.0,False,False,False
15,1,7,35.848993288590606,0.007485902143906356,1.6143037045588446,1.7008248126418226,30.0,False,False,False
16,1,7,12.640939597315436,0.6437587180741132,0.8984790529632952,1.7008248126418226,37.0,False,False,False
17,1,7,12.661073825503356,0.21076671675832206,1.2417314487621842,1.7008248126418226,27.0,False,False,False
18,1,7,12.03020134228188,0.7402278141902248,0.8404598818187301,1.7008248126418226,35.0,False,False,False
19,1,7,10.912751677852349,0.5863569733367563,0.9350853182073535,1.7008248126418226,24.0,False,False,False
20,1,7,14.10738255033557,0.034493505453568225,1.5151005399859088,1.7008248126418226,21.0,False,False,False
21,1,7,103.87919463087249,0.0012159990563247337,1.665953634624372,1.7008248126418226,32.0,False,False,False
22,1,7,13.077181208053691,0.2025244721164831,1.2507976222227513,1.7008248126418226,27.0,False,False,False
23,1,7,15.879194630872483,1.1392631350128652,0.6334621118634672,1.7008248126418226,47.0,False,False,False
24,1,7,11.956375838926174,0.6430174004514114,0.898941154963596,1.7008248126418226,31.0,False,False,False
25,1,7,13.429530201342281,0.3251855660800828,1.1305743710987382,1.7008248126418226,33.0,False,False,False
26,1,7,16.463087248322147,0.07797205746239878,1.4215900414144578,1.7008248126418226,26.0,False,False,False
27,1,7,57.211409395973156,0.026958371490734045,1.5366347657731587,1.7008248126418226,33.0,False,False,False
28,1,7,11.986577181208053,0.605574521757773,0.9226381243993591,1.7008248126418226,30.0,False,False,False
29,1,7,11.845637583892618,0.31618719112770116,1.1385195653537494,1.7008248126418226,23.0,False,False,False
30,1,7,11.442953020134228,0.13622510693431614,1.3317379570992334,1.7008248126418226,16.0,False,False,False
