cell_target,parameter,pc1_loading,explained_variance_ratio
7,strf_gain,0.05232229400740365,0.20290944306739706
7,strf_alpha,0.32997185257254735,0.20290944306739706
7,output_ad,0.36163837287534134,0.20290944306739706
7,abs_ref,-0.4264954653393685,0.20290944306739706
7,rel_ref_a,0.21923613674895617,0.20290944306739706
7,rel_ref_b,-0.1964339783144204,0.20290944306739706
7,rel_ref_c,0.0018121331818693048,0.20290944306739706
7,on_ron_gsyn,-0.14545415915017723,0.20290944306739706
7,off_ron_gsyn,-0.36868929417936086,0.20290944306739706
7,on_sonoff_gsyn,0.029068344324858775,0.20290944306739706
7,off_sonoff_gsyn,0.384490310359452,0.20290944306739706
7,sonoff_ron_gsyn,0.4281117945003546,0.20290944306739706
