epsilon,epsilon_percent_log,contexts,fd_resolved,both_resolved,stable_sign_window,magnitude_stable_window,qualified,green,red,gray,qualified_alignment_fraction,both_resolved_alignment_fraction,raw_alignment_fraction,zero_difference_fraction,pearson_all,spearman_all,cosine_all,through_origin_fd_on_analytic,median_fd_to_analytic_ratio_both_resolved
0.0025,0.25,24,11,11,10,10,10,10,0,14,1.0,1.0,0.9583333333333334,0.0,0.3769037201325537,0.6556521739130434,0.5756561241380896,0.01975017256627439,0.21370420955625233
0.005,0.5,24,16,16,14,14,14,14,0,10,1.0,1.0,1.0,0.0,0.41724481747664877,0.7269565217391305,0.6084376666653953,0.019896054405981023,0.09228889798174499
0.01,1.0,24,18,18,18,18,18,18,0,6,1.0,1.0,0.9583333333333334,0.0,0.4566938096576484,0.7252173913043477,0.6342854222668665,0.019969268157880245,0.13653334041702525
0.02,2.0,24,21,21,21,21,21,21,0,3,1.0,1.0,1.0,0.010416666666666666,0.4449904726867157,0.7504347826086956,0.6251793063106079,0.01948408082154474,0.1600161435755162
0.05,5.0,24,23,22,21,21,21,21,0,3,1.0,1.0,1.0,0.0,0.44126643319868664,0.7356521739130434,0.6230823180032785,0.019091261883637276,0.14428129864185563
0.1,10.0,24,24,23,21,21,21,21,0,3,1.0,1.0,1.0,0.0,0.43677483711848364,0.737391304347826,0.6185638851377596,0.019051691743175846,0.14138912648273633
