init_id,cell,epsilon,epsilon_percent_log,center_gain,seed_count,fd_log_mean,fd_log_ci_low,fd_log_ci_high,fd_log_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,analytic_log_sem,fd_resolved,analytic_resolved,raw_aligned,zero_difference_fraction,center_firing_rate_mean_hz,stable_sign_window,magnitude_stable_window,qualified,status
0,1,0.0025,0.25,0.0103693585842847,8,-4025.0093283614933,-10784.729972129691,2734.7113154067038,2858.6870151631597,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,False,False,True,0.0,37.179960404013286,False,False,False,gray
0,1,0.005,0.5,0.0103693585842847,8,-1887.5102083900342,-5693.935192263995,1918.9147754839269,1609.7377760166316,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,False,False,True,0.0,37.179960404013286,False,False,False,gray
0,1,0.01,1.0,0.0103693585842847,8,-1806.249977689707,-4923.997751557004,1311.4977961775908,1318.496066242752,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,False,False,True,0.0,37.179960404013286,False,False,False,gray
0,1,0.02,2.0,0.0103693585842847,8,-1078.1256203699772,-2389.7754482513938,233.52420751143927,554.6969363093963,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,False,False,True,0.125,37.179960404013286,False,False,False,gray
0,1,0.05,5.0,0.0103693585842847,8,-1273.7504392948813,-2154.7794205450323,-392.7214580447304,372.5873066964866,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,True,False,True,0.0,37.179960404013286,False,False,False,gray
0,1,0.1,10.0,0.0103693585842847,8,-1745.000077436786,-2455.2770793985037,-1034.7230754750683,300.3762654820456,-67.24512923842317,-162.0659624639407,27.57570398709437,40.099746571425584,True,False,True,0.0,37.179960404013286,False,False,False,gray
0,2,0.0025,0.25,0.0017865144181996,8,15224.660732728655,4426.699749414576,26022.621716042733,4566.459544699625,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
0,2,0.005,0.5,0.0017865144181996,8,16450.006020063287,6855.878614378751,26044.133425747823,4057.3581190423974,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
0,2,0.01,1.0,0.0017865144181996,8,15762.497391084991,10572.106177399142,20952.88860477084,2195.0173310578457,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
0,2,0.02,2.0,0.0017865144181996,8,13187.512702986936,10288.799284203928,16086.226121769945,1225.86640005509,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
0,2,0.05,5.0,0.0017865144181996,8,12161.255502111977,11134.368533074672,13188.142471149282,434.27067465184206,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
0,2,0.1,10.0,0.0017865144181996,8,12502.497423974944,11933.810149144649,13071.18469880524,240.49794568724127,10350.350156595843,9564.49093860573,11136.209374585957,332.33999755384684,True,True,True,0.0,72.1368410456025,True,True,True,green
