seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count,center_Strf_alpha,center_output_ad,center_on_ron_gSYN,center_off_ron_gSYN,center_on_sonoff_gSYN,center_off_sonoff_gSYN,center_sonoff_ron_gSYN,center_abs_ref,center_rel_ref_a,center_rel_ref_b,center_rel_ref_c
123,29801,0,0,1,minus,0,-0.1,0.1,0.0103693585842847,0.0093825841322541,5851.0,-7835.548828125,-73.51769610226802,34.562598570517764,1030.0,6.626354694366455,0.003570606932044,0.0175860133022069,0.0440235361456871,0.0364164188504219,0.0158203486353158,0.030755054205656,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
123,29801,0,0,2,minus,0,-0.1,0.1,0.0017865144181996,0.0016165050910785,8817.0,5135675.0,8301.844783624983,68.48763464313278,2041.0,59.34796905517578,0.0034778178669512,0.0381186567246913,0.0198897905647754,0.0397816374897956,0.0450029522180557,0.0243914071470499,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
123,29801,0,0,7,minus,0,-0.1,0.1,0.0159809570759534,0.0144601678475737,42143.0,180582304.0,2611250.42614159,133.3847857454448,3975.0,59.11423873901367,0.0048035467043519,0.042230125516653,0.0380196794867515,0.0416055098176002,0.0447861440479755,0.020792031660676,4.51259708404541,8.273573875427246,6.738358020782471,0.3464617729187011
123,29801,1,0,1,minus,1,-0.05,0.05,0.0103693585842847,0.0098636392503976,5590.0,-4271.95947265625,-42.13706713060037,36.40817422234153,1085.0,6.626354694366455,0.003570606932044,0.0175860133022069,0.0440235361456871,0.0364164188504219,0.0158203486353158,0.030755054205656,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
123,29801,1,0,2,minus,1,-0.05,0.05,0.0017865144181996,0.0016993851168081,9427.0,5806744.0,9867.89433071483,70.8365491090903,2111.0,59.34796905517578,0.0034778178669512,0.0381186567246913,0.0198897905647754,0.0397816374897956,0.0450029522180557,0.0243914071470499,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
123,29801,1,0,7,minus,1,-0.05,0.05,0.0159809570759534,0.0152015574276447,42815.0,213186096.0,3240760.6811193824,134.5256870574813,4009.0,59.11423873901367,0.0048035467043519,0.042230125516653,0.0380196794867515,0.0416055098176002,0.0447861440479755,0.020792031660676,4.51259708404541,8.273573875427246,6.738358020782471,0.3464617729187011
123,29801,2,0,1,minus,2,-0.02,0.02,0.0103693585842847,0.0101640317589044,5582.0,-2586.609619140625,-26.290382316833075,37.14640448307104,1107.0,6.626354694366455,0.003570606932044,0.0175860133022069,0.0440235361456871,0.0364164188504219,0.0158203486353158,0.030755054205656,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
123,29801,2,0,2,minus,2,-0.02,0.02,0.0017865144181996,0.0017511390615254,9682.0,5629464.5,9857.975181420916,71.40699976510855,2128.0,59.34796905517578,0.0034778178669512,0.0381186567246913,0.0198897905647754,0.0397816374897956,0.0450029522180557,0.0243914071470499,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
123,29801,2,0,7,minus,2,-0.02,0.02,0.0159809570759534,0.0156645122915506,43327.0,219010176.0,3430687.593926668,135.02902587161503,4024.0,59.11423873901367,0.0048035467043519,0.042230125516653,0.0380196794867515,0.0416055098176002,0.0447861440479755,0.020792031660676,4.51259708404541,8.273573875427246,6.738358020782471,0.3464617729187011
123,29801,3,0,1,minus,3,-0.01,0.01,0.0103693585842847,0.010266182012856,5557.0,-4326.71435546875,-44.41883709087915,37.179960404013286,1108.0,6.626354694366455,0.003570606932044,0.0175860133022069,0.0440235361456871,0.0364164188504219,0.0158203486353158,0.030755054205656,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
123,29801,3,0,2,minus,3,-0.01,0.01,0.0017865144181996,0.0017687382642179,9739.0,5601711.5,9907.961475159856,71.7090030535888,2137.0,59.34796905517578,0.0034778178669512,0.0381186567246913,0.0198897905647754,0.0397816374897956,0.0450029522180557,0.0243914071470499,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
123,29801,3,0,7,minus,3,-0.01,0.01,0.0159809570759534,0.0158219430595636,43607.0,230447840.0,3646132.602679432,135.29747323915305,4032.0,59.11423873901367,0.0048035467043519,0.042230125516653,0.0380196794867515,0.0416055098176002,0.0447861440479755,0.020792031660676,4.51259708404541,8.273573875427246,6.738358020782471,0.3464617729187011
123,29801,4,0,1,minus,4,-0.005,0.005,0.0103693585842847,0.0103176413103938,5488.0,-4919.73486328125,-50.76005966157527,37.347740008724536,1113.0,6.626354694366455,0.003570606932044,0.0175860133022069,0.0440235361456871,0.0364164188504219,0.0158203486353158,0.030755054205656,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
123,29801,4,0,2,minus,4,-0.005,0.005,0.0017865144181996,0.0017776041058823,9832.0,5794034.0,10299.498628021916,72.0445622630113,2147.0,59.34796905517578,0.0034778178669512,0.0381186567246913,0.0198897905647754,0.0397816374897956,0.0450029522180557,0.0243914071470499,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
123,29801,4,0,7,minus,4,-0.005,0.005,0.0159809570759534,0.0159012507647275,43536.0,232043984.0,3689789.578030437,135.33102916009528,4033.0,59.11423873901367,0.0048035467043519,0.042230125516653,0.0380196794867515,0.0416055098176002,0.0447861440479755,0.020792031660676,4.51259708404541,8.273573875427246,6.738358020782471,0.3464617729187011
