seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count,center_Strf_alpha,center_output_ad,center_on_ron_gSYN,center_off_ron_gSYN,center_on_sonoff_gSYN,center_off_sonoff_gSYN,center_sonoff_ron_gSYN,center_abs_ref,center_rel_ref_a,center_rel_ref_b,center_rel_ref_c
1213,29801,0,0,1,minus,0,-0.1,0.1,0.010369358584284782,0.009382584132254124,5547.0,-1115.026611328125,-10.461830990488352,34.562598570517764,1030.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,0,0,2,minus,0,-0.1,0.1,0.0017865144181996584,0.0016165050910785794,8693.0,5899333.5,9536.302636720415,67.91718398711453,2024.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,0,0,7,minus,0,-0.1,0.1,0.015980957075953484,0.014460167847573757,42124.0,178211568.0,2576969.1856593043,132.94855877319551,3962.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,1,0,1,minus,1,-0.05,0.05,0.010369358584284782,0.009863639250397682,5396.0,-8488.2333984375,-83.72487211536463,35.80416764538103,1067.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,1,0,2,minus,1,-0.05,0.05,0.0017865144181996584,0.0016993851168081164,9419.0,6305407.5,10715.315660910273,69.93053924364953,2084.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,1,0,7,minus,1,-0.05,0.05,0.015980957075953484,0.01520155742764473,42842.0,196511392.0,2987279.210674405,134.15657192711654,3998.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,2,0,1,minus,2,-0.02,0.02,0.010369358584284782,0.010164031758904457,5433.0,-7245.42578125,-73.64273774741014,36.30750645951478,1082.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,2,0,2,minus,2,-0.02,0.02,0.0017865144181996584,0.001751139061525464,9634.0,5773252.5,10109.76796479954,71.1721083185128,2121.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,2,0,7,minus,2,-0.02,0.02,0.015980957075953484,0.015664512291550636,43707.0,212089456.0,3322277.890420288,135.0625817925573,4025.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,3,0,1,minus,3,-0.01,0.01,0.010369358584284782,0.010266182012856007,5420.0,-6251.65625,-64.18064094430883,36.54239790611053,1089.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
