init_id,cell,log_offset,epsilon,center_gain,gain_mean,loss_mean,loss_ci_low,loss_ci_high,loss_sem,delta_loss_mean,delta_loss_ci_low,delta_loss_ci_high,delta_loss_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,firing_rate_mean_hz
0,1,-0.1,0.1,0.0103693585842847,0.0093825841322541,5613.875,5494.104607879579,5733.645392120421,50.650919290769046,178.625,76.51799181060574,280.73200818939426,43.18107120850855,-67.24512923842317,-162.0659624639407,27.57570398709437,34.85201838864467
0,1,-0.05,0.05,0.0103693585842847,0.0098636392503976,5500.125,5425.470040271413,5574.779959728587,31.571595224188467,64.875,12.569140651849196,117.1808593481508,22.120156854907567,-67.24512923842317,-162.0659624639407,27.57570398709437,36.1229488943324
0,1,-0.02,0.02,0.0103693585842847,0.0101640317589044,5480.375,5385.17245386098,5575.57754613902,40.261173027762474,45.125,4.722144286611375,85.52785571338862,17.0863745841115,-67.24512923842317,-162.0659624639407,27.57570398709437,36.83181772423744
0,1,-0.01,0.01,0.0103693585842847,0.010266182012856,5458.625,5369.763815828226,5547.486184171774,37.57940996837801,23.375,-8.78406834781348,55.53406834781348,13.600075498740019,-67.24512923842317,-162.0659624639407,27.57570398709437,36.974430388242
0,1,-0.005,0.005,0.0103693585842847,0.0103176413103938,5447.25,5379.0983603305995,5515.4016396694005,28.821340060051735,12.0,-12.83257578591478,36.832575785914784,10.501700542565203,-67.24512923842317,-162.0659624639407,27.57570398709437,37.079292641186534
0,1,-0.0025,0.0025,0.0103693585842847,0.0103434678167104,5451.125,5376.2483527055865,5526.0016472944135,31.66534693365243,15.875,-14.58920875567265,46.33920875567265,12.88331908765306,-67.24512923842317,-162.0659624639407,27.57570398709437,37.13382101271769
0,1,0.0,0.0,0.0103693585842847,0.0103693585842847,5435.25,5372.6819382553895,5497.8180617446105,26.460044001691085,0.0,0.0,0.0,0.0,-67.24512923842317,-162.0659624639407,27.57570398709437,37.179960404013286
0,1,0.0025,0.0025,0.0103693585842847,0.0103953145444393,5431.0,5377.666620210768,5484.333379789232,22.554695424994893,-4.25,-22.328995577430987,13.828995577430987,7.645610318532925,-67.24512923842317,-162.0659624639407,27.57570398709437,37.23029428542666
0,1,0.005,0.005,0.0103693585842847,0.0104213347658514,5428.375,5364.285179829324,5492.464820170676,27.103595900069894,-6.875,-37.12211843706125,23.372118437061253,12.791511554821927,-67.24512923842317,-162.0659624639407,27.57570398709437,37.301600617428946
0,1,0.01,0.01,0.0103693585842847,0.0104735726490616,5422.5,5349.8795221956525,5495.1204778043475,30.711212470831747,-12.75,-56.18574952747148,30.68574952747148,18.36898589626392,-67.24512923842317,-162.0659624639407,27.57570398709437,37.41485185060904
