category,cell_target,batch_zero_based,batch_one_based,psth_mse,cv_loss,sim_cv,data_cv,psth_rank,cv_rank,combined_score,combined_rank,total_candidates
best_psth,206,11,12,0.09060402684563758,0.000137605884568342,0.8457696611167271,0.8340391076528729,1,52,53.0,1,3300
best_cv,140,9,10,1.929530201342282,8.073598158437184e-09,1.047905036716616,1.0478151835132317,1206,1,1207.0,71,3300
best_combined,206,11,12,0.09060402684563758,0.000137605884568342,0.8457696611167271,0.8340391076528729,1,52,53.0,1,3300
