category,cell_target,batch_zero_based,batch_one_based,psth_mse,cv_loss,sim_cv,data_cv,psth_rank,cv_rank,combined_score,combined_rank,total_candidates
best_psth,7,11,12,6.9865771812080535,0.2258436068277471,1.2255947559032498,1.7008248126418226,1,2,3.0,1,15
best_cv,7,0,1,15.073825503355705,0.001458128488280824,1.6626393639960253,1.7008248126418226,15,1,16.0,8,15
best_combined,7,11,12,6.9865771812080535,0.2258436068277471,1.2255947559032498,1.7008248126418226,1,2,3.0,1,15
