parameter,final_mean_movement_ratio,final_median_movement_ratio,final_mean_learned_index,final_median_learned_index,final_mean_raw_movement,final_median_raw_movement,percent_cells_10pct_or_less_initial_movement,percent_cells_25pct_or_less_initial_movement,percent_cells_still_moving_at_or_above_initial,n_cells,n_epoch_transitions
strf_gain,3.657644216662979,2.374711233807068,-2.657644216662979,-1.374711233807068,0.0009354526061963814,0.0008081361203722125,8.181818181818182,10.454545454545453,74.0909090909091,220,69
strf_alpha,0.7378919035688147,0.40493318590874994,0.2621080964311853,0.5950668140912501,0.13813652084344266,0.09257550489212027,17.727272727272727,35.90909090909091,20.0,220,69
output_ad,0.6159039946706031,0.39996106749670335,0.3840960053293969,0.6000389325032967,4.430857991437504e-05,2.7683664331354602e-05,9.090909090909092,33.63636363636363,16.363636363636363,220,69
on_ron_gsyn,0.6806849085585895,0.36472591425761425,0.31931509144141046,0.6352740857423858,0.0010418045670607381,0.0006011413153421638,21.363636363636363,40.909090909090914,20.0,220,69
off_ron_gsyn,0.5230930079795519,0.1767237015999219,0.4769069920204481,0.8232762984000781,0.0005487606522246839,0.00024056901230931635,35.0,60.45454545454545,8.636363636363637,220,69
on_sonoff_gsyn,0.4054254586692493,0.14124483221752715,0.5945745413307508,0.8587551677824729,0.0008802263721569721,0.00039480175939945875,39.09090909090909,69.54545454545455,7.2727272727272725,220,69
off_sonoff_gsyn,0.4465584045877458,0.10682167986523151,0.5534415954122542,0.8931783201347685,0.0009475343524471565,0.0003068525033572195,48.18181818181818,69.54545454545455,10.909090909090908,220,69
sonoff_ron_gsyn,0.09510028080901986,0.04828499176189549,0.9048997191909801,0.9517150082381045,0.00010900830963954301,5.9704123619445934e-05,70.0,93.63636363636364,0.45454545454545453,220,69
