parameter,final_mean_convergence,final_median_convergence,final_mean_remaining_spread,final_median_remaining_spread,percent_cells_lower_spread,percent_cells_half_or_less_initial_spread,percent_cells_increased_spread,n_cells,n_epochs
strf_gain,-0.04282743869906923,0.05756905259557199,1.0428274386990695,0.942430947404428,63.18181818181819,0.0,36.81818181818181,220,100
strf_alpha,-0.7710039699620009,-0.7410966211669873,1.7710039699620008,1.7410966211669874,0.0,0.0,100.0,220,100
output_ad,-0.6614448684936519,-0.40586649926860674,1.661444868493652,1.4058664992686067,5.454545454545454,0.0,94.54545454545455,220,100
abs_ref,-0.5236354212936444,0.20741547063981375,1.5236354212936445,0.7925845293601863,74.0909090909091,4.545454545454546,25.90909090909091,220,100
rel_ref_a,-0.05847699094180777,-0.029731527855242468,1.058476990941808,1.0297315278552426,40.0,0.0,60.0,220,100
rel_ref_b,-0.3190328280253403,-0.20268599743104065,1.3190328280253405,1.2026859974310407,23.18181818181818,0.0,76.81818181818181,220,100
rel_ref_c,0.3575618747185174,0.3443080143581002,0.6424381252814827,0.6556919856418998,82.27272727272728,35.45454545454545,17.727272727272727,220,100
on_ron_gsyn,0.014647949544169139,0.05226236543254831,0.985352050455831,0.9477376345674517,57.27272727272727,4.090909090909091,42.72727272727273,220,100
off_ron_gsyn,0.09468000988126601,0.10144763909147803,0.905319990118734,0.898552360908522,71.36363636363636,6.363636363636363,28.636363636363637,220,100
on_sonoff_gsyn,-1.5709683075143044,-1.512863911247828,2.570968307514304,2.5128639112478277,1.3636363636363635,0.0,98.63636363636363,220,100
off_sonoff_gsyn,-1.0935550324373715,-1.0420689387661028,2.0935550324373717,2.0420689387661026,0.0,0.0,100.0,220,100
sonoff_ron_gsyn,-0.24726989714809042,-0.2321210549273519,1.2472698971480902,1.2321210549273518,14.545454545454545,0.0,85.45454545454545,220,100
