parameter,final_mean_movement_ratio,final_median_movement_ratio,final_mean_learned_index,final_median_learned_index,final_mean_raw_movement,final_median_raw_movement,percent_cells_10pct_or_less_initial_movement,percent_cells_25pct_or_less_initial_movement,percent_cells_still_moving_at_or_above_initial,n_cells,n_epoch_transitions
strf_gain,0.03731193270737773,0.006501319875977754,0.9626880672926222,0.9934986801240222,3.6040209956946916e-05,6.1947309101621304e-06,90.0,96.36363636363636,0.0,220,99
strf_alpha,0.040851429449760016,0.009160283277687385,0.9591485705502399,0.9908397167223126,0.20288112711330705,0.04454847859839599,88.63636363636364,97.27272727272728,0.0,220,99
output_ad,0.07230500518543577,0.05020679130871437,0.9276949948145642,0.9497932086912857,1.806942231119344e-05,1.255169930421592e-05,79.54545454545455,97.72727272727273,0.0,220,99
abs_ref,0.00850564100081338,0.0007836362638795994,0.9914943589991867,0.9992163637361204,0.01634355408657553,0.0015338684121767678,98.63636363636363,99.54545454545455,0.0,220,99
rel_ref_a,0.26711167946347963,0.00929123009018916,0.7328883205365204,0.9907087699098109,0.0018564298861857616,0.0009610801935195923,76.36363636363637,78.63636363636364,2.272727272727273,220,99
rel_ref_b,0.41885315495540076,0.007606740594942779,0.5811468450445992,0.9923932594050573,0.0031936853578152227,0.0016869877775510151,76.81818181818181,78.18181818181819,3.1818181818181817,220,99
rel_ref_c,0.07121580302843981,0.05570384211149497,0.9287841969715602,0.944296157888505,0.0014060500444787924,0.0011027858903010688,78.63636363636364,97.72727272727273,0.0,220,99
on_ron_gsyn,0.04796811624074578,0.013375261108799087,0.9520318837592542,0.986624738891201,0.00011964618355374444,3.343815721261005e-05,84.54545454545455,97.27272727272728,0.0,220,99
off_ron_gsyn,0.04083570715045397,0.01632990061958592,0.9591642928495462,0.9836700993804142,0.00010208927772261879,4.0824757888913155e-05,90.0,99.0909090909091,0.0,220,99
on_sonoff_gsyn,0.08053356192238026,0.07465492605609018,0.9194664380776196,0.9253450739439099,0.00020117815539847606,0.0001866373543938001,76.36363636363637,99.54545454545455,0.0,220,99
off_sonoff_gsyn,0.06074113609415276,0.052705813110027866,0.9392588639058472,0.9472941868899721,0.000151852866816405,0.00013176454619194072,91.81818181818183,99.0909090909091,0.0,220,99
sonoff_ron_gsyn,0.017330046617574056,0.008922131168302486,0.9826699533824258,0.9910778688316975,4.332512326072901e-05,2.2305330882469814e-05,98.18181818181819,99.54545454545455,0.0,220,99
