epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
51,0.004791574,0.02791116,0.04028125,0.01296114,0.002939777,0.00210264,0.1991667,0.0239763,0.02860498,0.1152336
52,0.004681972,0.02716922,0.04525163,0.01232187,0.002987525,0.001850009,0.215,0.02285196,0.02731822,0.1157058
53,0.005347659,0.03091918,0.05001235,0.0145462,0.003410622,0.00241069,0.2041667,0.02165536,0.025095,0.1172712
54,0.004564218,0.02740791,0.04059136,0.01247201,0.002636405,0.001790126,0.2133333,0.02178063,0.02345918,0.1438201
55,0.005231595,0.03068392,0.04828182,0.01377958,0.002712572,0.002582408,0.21,0.02210059,0.02088798,0.1255926
56,0.004578128,0.02668514,0.03926016,0.01185257,0.002399486,0.002237311,0.2141667,0.02205242,0.02005644,0.1268761
57,0.003861389,0.02813299,0.04356365,0.01034912,0.002637188,0.001802357,0.1991667,0.02224959,0.02425201,0.1652536
58,0.003831536,0.02565388,0.03606489,0.01010695,0.002577325,0.001285862,0.2233333,0.02029131,0.02676362,0.1682153
59,0.003887014,0.02571317,0.03822484,0.01072974,0.001918253,0.001746882,0.24,0.01977335,0.02961294,0.167995
60,0.004249251,0.02892435,0.04646705,0.01213623,0.001974714,0.00205865,0.2525,0.01907184,0.02918756,0.1652738
61,0.004115796,0.02534094,0.03981369,0.01061073,0.001744025,0.001779884,0.265,0.01851741,0.03012372,0.1674181
62,0.003963296,0.02343754,0.03822959,0.01064293,0.00143203,0.001865805,0.26,0.01890153,0.0271826,0.1269766
63,0.003860514,0.02759542,0.04420453,0.01098315,0.001822096,0.001882863,0.2475,0.01865039,0.03006182,0.1117916
64,0.004082268,0.02398304,0.03565955,0.01096892,0.001545056,0.002337782,0.2291667,0.01864895,0.03136676,0.1026286
65,0.00345325,0.0233659,0.03276185,0.009265399,0.001045652,0.001751684,0.2475,0.01840246,0.03060311,0.1009089
66,0.003423394,0.02479355,0.04048864,0.00932138,0.001578946,0.001626994,0.2533333,0.01782952,0.02917168,0.08777022
