epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
72,0.0142086,0.0291272,0.03171072,0.04270189,0.01733465,0.00015316,0.04333333,0.07113664,0.01979112,NaN
73,0.0142956,0.029143,0.03195763,0.04313426,0.01747684,0.0001451672,0.04416667,0.07095441,0.009467088,NaN
74,0.01411465,0.029453,0.03226245,0.04351449,0.01725801,0.0001374167,0.04416667,0.07075634,0.007063023,NaN
75,0.0141446,0.02933326,0.03201359,0.0436464,0.01729876,0.000129238,0.04333333,0.07090266,0.009467088,NaN
76,0.01420181,0.0291957,0.0321233,0.04363824,0.01734796,0.0001219283,0.0425,0.07086448,0.009467088,NaN
77,0.01422853,0.0290301,0.03225154,0.04375316,0.01740224,0.0001148364,0.04083333,0.07090192,0.007291083,NaN
78,0.01450131,0.02908611,0.03243862,0.0439918,0.01755949,0.0001079287,0.04333333,0.07119736,0.007291083,NaN
79,0.01437411,0.02889804,0.03222807,0.04410045,0.01753776,0.0001000763,0.04166667,0.0710684,0.01364234,NaN
80,0.01435507,0.02844758,0.03205277,0.04378455,0.01755139,9.547002e-05,0.04166667,0.0717259,0.01364234,NaN
81,0.01437521,0.02840946,0.03203026,0.0440127,0.01759416,9.165062e-05,0.0425,0.07128794,0.007291083,NaN
82,0.01427305,0.02832001,0.03181405,0.04422564,0.01747994,8.836463e-05,0.04333333,0.07190236,0.01311752,NaN
83,0.01452032,0.02829695,0.03149313,0.04416507,0.01768251,8.367005e-05,0.0425,0.0716081,0.01311752,NaN
84,0.01456194,0.02820875,0.03181709,0.04414981,0.01783439,8.031279e-05,0.04333333,0.07165089,0.01311752,NaN
85,0.01445033,0.02834429,0.03146792,0.04380718,0.017685,7.732373e-05,0.04166667,0.07228149,0.008185107,NaN
